Time,Air Flow Rate,HF-N,HF-E,HF-S,HF-W,NG Flow Rate,HRR_ideal,HRR_cal,K_smoke,T_duct,rho_duct,V_duct,MF_duct,O2_duct_dry,CO2_duct_dry,CO_duct_dry,H2O_duct,H2O_amb,RH,T_amb,Hydrogen Cyanide,U_Hydrogen Cyanide,Sulfur Dioxide,U_Sulfur Dioxide,Hydrogen Chloride,U_Hydrogen Chloride,Hydrogen Fluoride,U_Hydrogen Fluoride,Hydrogen Bromide,U_Hydrogen Bromide,Acrolein,U_Acrolein,Formaldehyde,U_Formaldehyde,Nitric Oxide,U_Nitric Oxide,Nitrogen Dioxide,U_Nitrogen Dioxide,Ammonia,U_Ammonia,Methane,U_Methane,Water_%,U_Water_%,Ethene,U_Ethene,Propene,U_Propene,Carbon Dioxide_Low,U_Carbon Dioxide_Low,Ethane,U_Ethane,Propane,U_Propane,Acetylene,U_Acetylene,"1,3-Butadiene","U_1,3-Butadiene",IsoButene,U_IsoButene,n-Pentane,U_n-Pentane,Ethanol,U_Ethanol,Nitrous Oxide,U_Nitrous Oxide,NOx,U_NOx
s,L/min,kW/m2,kW/m2,kW/m2,kW/m2,L/min,kW,kW,1/m,C,kg/m3,m/s,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,%,C,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
1260,598.2,0.257,0.238,0.110,0.085,83.7,49.6,50.6,0.002787,40.6,1.12,9.67,1.98,0.207745,0.001346,0.000018,0.009183,0.012633,45.0,25.7,0.042,0.019,0.291,0.367,-0.130,0.019,-0.336,-0.016,-0.060,0.002,-1.218,22.463,0.521,0.005,0.090,0.167,0.857,0.775,-0.021,0.030,28.591,0.742,0.095,0.006,0.557,-0.001,0.066,-0.005,455.787,8.929,2.394,0.489,0.358,0.599,0.142,0.244,0.103,0.011,-0.058,0.009,0.004,0.263,0.071,0.003,0.023,0.012,0.946,0.000
1270,598.2,0.254,0.233,0.107,0.085,83.3,49.4,51.5,0.002828,40.5,1.12,9.75,1.99,0.207734,0.001355,0.000018,0.009197,0.012665,45.0,25.7,-0.017,0.008,0.431,0.485,-0.120,0.006,-0.047,-0.012,-0.076,0.002,-0.729,21.935,0.519,0.003,-0.186,0.238,0.163,0.658,0.009,0.031,28.056,0.764,0.111,0.003,0.517,0.000,-0.157,-0.001,449.775,8.777,2.304,0.477,0.333,0.584,0.131,0.250,0.052,0.003,-0.049,0.002,0.009,0.257,0.026,0.003,0.002,0.016,-0.024,0.000
1280,598.2,0.257,0.236,0.108,0.083,83.8,49.7,50.1,0.002894,40.4,1.12,9.71,1.99,0.207787,0.001334,0.000018,0.009178,0.012692,45.0,25.7,-0.017,0.006,0.434,0.418,-0.050,0.069,-0.167,0.038,-0.088,0.002,-0.651,21.590,0.523,0.003,-0.107,0.321,0.475,0.756,-0.027,0.030,27.640,0.750,0.091,0.002,0.538,-0.002,0.033,-0.006,446.612,8.025,2.295,0.470,0.307,0.575,0.138,0.208,0.009,0.001,-0.021,0.000,0.007,0.253,0.088,0.003,0.023,0.007,0.368,0.000
1290,598.2,0.251,0.235,0.105,0.083,83.8,49.7,50.2,0.002901,40.3,1.12,9.70,1.99,0.207797,0.001324,0.000018,0.009161,0.012698,45.0,25.7,-0.026,0.020,0.416,0.343,-0.127,0.011,-0.130,0.018,-0.077,-0.001,-0.785,21.798,0.533,0.003,0.038,0.217,-0.697,0.653,-0.022,0.034,27.823,0.759,0.079,0.006,0.557,0.000,0.066,0.000,441.350,8.177,2.304,0.474,0.364,0.581,0.135,0.258,0.041,0.001,-0.136,0.001,-0.004,0.255,0.072,0.002,0.015,0.010,-0.659,0.000
1300,598.2,0.250,0.228,0.103,0.080,83.7,49.6,49.3,0.002742,40.3,1.12,9.73,1.99,0.207817,0.001314,0.000018,0.009148,0.012696,45.0,25.7,-0.004,0.018,0.526,0.422,0.011,0.011,-0.101,0.019,-0.071,0.006,0.345,21.982,0.522,0.004,0.084,0.208,0.288,0.664,-0.028,0.031,28.053,0.732,0.104,0.006,0.541,-0.001,-0.085,-0.005,440.813,8.466,2.320,0.478,0.332,0.586,0.139,0.251,0.028,-0.002,0.024,-0.002,0.002,0.257,0.093,0.003,0.004,0.009,0.372,0.000
1310,598.2,0.251,0.226,0.095,0.080,84.0,49.8,49.0,0.002788,40.3,1.12,9.80,2.01,0.207826,0.001311,0.000018,0.009141,0.012694,45.0,25.7,-0.003,0.010,0.416,0.405,-0.102,0.055,-0.052,0.038,-0.019,0.002,0.840,22.332,0.551,0.004,-0.009,0.168,1.129,0.799,-0.022,0.033,28.360,0.775,0.098,0.003,0.529,0.000,-0.058,-0.001,442.438,8.332,2.364,0.486,0.334,0.595,0.167,0.248,0.083,0.010,0.021,0.007,0.005,0.261,0.055,0.001,0.013,0.013,1.120,0.000
1320,598.3,0.248,0.226,0.101,0.079,83.8,49.7,49.4,0.002892,40.2,1.12,9.77,2.00,0.207813,0.001314,0.000018,0.009146,0.012687,45.0,25.7,-0.018,0.019,0.596,0.476,-0.006,0.019,0.113,0.042,-0.057,0.003,-0.630,22.484,0.551,0.001,-0.080,0.207,0.280,0.851,-0.008,0.029,28.664,0.784,0.096,0.006,0.525,-0.004,-0.089,-0.014,441.400,8.686,2.366,0.489,0.370,0.599,0.119,0.248,-0.002,-0.001,-0.058,0.000,-0.002,0.263,0.067,0.002,-0.005,0.007,0.201,0.000
1330,598.2,0.253,0.229,0.099,0.080,83.2,49.4,50.1,0.00235,40.2,1.12,9.69,1.98,0.207809,0.001316,0.000018,0.00915,0.012629,45.0,25.7,-0.006,0.011,0.515,0.354,0.067,-0.003,-0.001,0.046,-0.033,0.001,-0.467,22.559,0.536,0.000,0.010,0.222,-0.029,0.754,-0.016,0.035,28.666,0.753,0.098,0.003,0.550,-0.003,0.037,-0.009,443.975,8.424,2.414,0.491,0.391,0.601,0.170,0.206,0.024,0.000,-0.024,0.000,-0.016,0.264,0.043,0.003,0.017,0.004,-0.019,0.000
1340,598.2,0.245,0.224,0.086,0.076,83.7,49.6,49.7,0.002542,40.2,1.12,9.61,1.97,0.207817,0.001314,0.000018,0.009155,0.012627,45.0,25.7,-0.005,0.009,0.454,0.490,-0.149,0.018,0.089,-0.048,-0.017,0.006,0.157,22.872,0.562,0.002,0.075,0.217,-0.562,0.666,-0.008,0.029,29.148,0.767,0.096,0.003,0.500,0.001,0.035,0.003,463.725,8.417,2.442,0.498,0.400,0.609,0.119,0.198,0.062,0.000,0.014,0.000,-0.014,0.268,0.084,0.002,0.010,0.011,-0.487,0.000
1350,598.2,0.243,0.218,0.090,0.077,83.7,49.6,49.6,0.002696,40.0,1.12,9.57,1.96,0.207805,0.00132,0.000018,0.009158,0.012671,45.0,25.7,-0.037,-0.044,0.331,-1.429,-0.045,-0.041,0.491,-0.024,-0.078,-0.017,0.570,19.832,0.464,-0.014,0.075,-0.266,0.594,0.281,-0.026,0.017,27.556,0.442,-0.050,-0.013,0.480,-0.014,-0.038,-0.050,610.575,11.056,2.251,0.432,0.259,0.529,0.447,-0.539,0.012,-0.034,-0.049,-0.026,0.018,0.232,0.060,-0.010,0.003,0.007,0.669,0.000
1360,598.3,0.246,0.224,0.093,0.076,83.6,49.6,46.3,0.002896,40.1,1.12,9.53,1.95,0.207892,0.001308,0.000018,0.009198,0.012674,45.0,25.7,0.015,-0.116,-0.249,-5.038,-0.085,-0.082,0.266,-0.084,-0.057,-0.040,-0.586,28.411,0.236,-0.034,0.192,-1.122,0.954,0.464,-0.024,0.033,38.031,0.143,-0.446,-0.035,0.640,-0.019,0.013,-0.066,686.612,11.910,3.104,0.618,0.514,0.757,0.947,-2.004,0.118,-0.045,-0.003,-0.034,-0.016,0.333,0.036,-0.014,0.000,0.010,1.146,0.000
1370,598.2,0.252,0.240,0.097,0.078,83.9,49.7,45.3,0.0029,40.4,1.12,9.73,1.99,0.207918,0.001293,0.000017,0.009244,0.012689,45.0,25.7,0.073,-0.149,-1.158,-7.518,-0.065,-0.123,0.223,-0.111,-0.110,-0.046,-0.365,34.959,0.104,-0.042,0.257,-1.600,1.349,0.618,-0.058,0.052,45.734,0.156,-0.666,-0.045,0.800,-0.017,-0.008,-0.061,691.050,11.827,3.756,0.761,0.683,0.932,1.406,-3.291,0.128,-0.031,0.005,-0.024,-0.017,0.409,-0.032,-0.015,0.033,0.027,1.606,0.000
1380,598.2,0.256,0.247,0.091,0.079,83.7,49.6,48.0,0.00304,40.6,1.12,9.67,1.98,0.207833,0.001324,0.000018,0.009303,0.012647,45.0,25.7,0.065,-0.165,-1.811,-8.998,-0.090,-0.107,0.396,-0.056,-0.149,-0.049,0.822,38.411,0.122,-0.050,0.418,-1.825,1.694,0.798,-0.030,0.054,49.866,0.231,-0.760,-0.050,0.843,-0.019,-0.079,-0.069,703.388,11.581,4.149,0.836,0.748,1.024,1.808,-4.228,0.168,-0.026,0.021,-0.020,-0.028,0.450,-0.050,-0.015,0.024,0.030,2.112,0.000
1390,598.3,0.256,0.238,0.097,0.080,83.6,49.6,49.1,0.002837,40.6,1.12,9.76,2.00,0.207811,0.001339,0.000018,0.00935,0.012597,45.0,25.7,0.050,-0.176,-2.104,-10.021,-0.023,-0.118,0.440,-0.055,-0.158,-0.051,0.608,40.248,0.077,-0.051,0.361,-1.896,1.810,0.820,-0.058,0.061,52.430,0.290,-0.820,-0.053,0.911,-0.019,0.084,-0.067,721.089,11.540,4.328,0.876,0.815,1.073,2.020,-4.873,0.123,-0.039,0.050,-0.029,-0.047,0.471,-0.045,-0.016,0.031,0.035,2.171,0.000
1400,598.2,0.260,0.237,0.093,0.077,83.5,49.5,48.7,0.002755,40.4,1.12,9.69,1.98,0.207826,0.001337,0.000019,0.009356,0.012526,45.0,25.7,0.056,-0.170,-2.312,-10.558,-0.056,-0.128,0.330,-0.086,-0.103,-0.052,0.265,40.180,0.052,-0.051,0.400,-1.953,2.065,0.712,-0.042,0.072,52.245,0.260,-0.847,-0.052,0.958,-0.017,0.035,-0.061,728.162,11.941,4.327,0.874,0.811,1.071,2.120,-5.257,0.096,-0.043,0.069,-0.032,-0.047,0.470,-0.076,-0.014,0.033,0.034,2.465,0.000
1410,598.2,0.251,0.228,0.087,0.077,83.5,49.6,47.7,0.002683,40.4,1.12,9.69,1.98,0.207873,0.001316,0.000019,0.009322,0.012441,45.0,25.7,0.080,-0.185,-2.495,-10.758,-0.023,-0.104,0.279,-0.043,-0.199,-0.052,0.755,39.724,0.076,-0.049,0.509,-1.975,1.042,0.682,-0.034,0.070,50.910,0.201,-0.867,-0.056,0.973,-0.018,0.155,-0.065,736.350,11.115,4.268,0.865,0.790,1.059,2.293,-5.480,0.019,-0.036,0.070,-0.027,-0.034,0.465,-0.044,-0.014,0.039,0.039,1.552,0.000
1420,598.2,0.253,0.219,0.093,0.077,83.2,49.4,47.2,0.002572,40.2,1.12,9.65,1.98,0.207882,0.001299,0.000018,0.0093,0.012358,45.0,25.7,0.048,-0.161,-2.126,-9.179,-0.097,-0.072,0.109,-0.047,-0.120,-0.032,1.266,36.190,0.057,-0.040,0.443,-1.807,1.975,0.574,-0.031,0.064,44.409,0.021,-0.790,-0.049,0.881,-0.007,0.031,-0.026,701.625,11.041,3.841,0.788,0.711,0.964,1.873,-4.616,0.143,-0.015,0.004,-0.012,-0.031,0.424,-0.047,-0.004,0.039,0.034,2.418,0.000
1430,598.2,0.251,0.223,0.095,0.076,83.5,49.5,49.4,0.00324,40.1,1.12,9.63,1.97,0.207812,0.001311,0.000018,0.009259,0.012402,45.0,25.7,0.081,-0.094,-0.656,-4.573,-0.099,-0.042,0.248,0.027,-0.108,-0.022,-0.102,26.608,0.224,-0.025,0.351,-1.151,1.592,0.702,-0.029,0.043,34.513,-0.067,-0.488,-0.029,0.662,-0.003,0.129,-0.012,542.488,8.584,2.914,0.579,0.496,0.709,0.875,-2.159,0.057,-0.011,0.025,-0.008,-0.019,0.311,0.000,0.001,0.026,0.016,1.942,0.000
1440,598.2,0.257,0.231,0.093,0.078,83.3,49.4,47.7,0.002937,40.3,1.12,9.63,1.97,0.207856,0.001297,0.000018,0.009198,0.012386,45.0,25.7,0.081,-0.046,0.159,-1.370,-0.005,-0.005,0.016,-0.048,-0.048,-0.009,-0.437,23.841,0.434,-0.008,-0.073,-0.405,0.655,0.733,-0.018,0.038,30.620,0.280,-0.200,-0.014,0.596,-0.002,-0.103,-0.007,513.162,8.026,2.599,0.519,0.398,0.635,0.356,-0.678,0.128,0.010,0.035,0.007,-0.010,0.279,0.038,0.001,0.027,0.023,0.583,0.000
1450,598.2,0.263,0.231,0.094,0.079,83.6,49.6,49.6,0.0025,40.4,1.12,9.78,2.00,0.207805,0.001315,0.000017,0.009175,0.012404,45.0,25.7,0.013,-0.013,0.190,-0.242,0.013,0.021,0.147,-0.023,-0.071,-0.003,-0.191,22.534,0.535,-0.004,0.111,-0.085,0.257,0.622,-0.003,0.028,28.943,0.549,-0.040,-0.004,0.544,-0.006,0.052,-0.020,486.750,7.642,2.425,0.490,0.384,0.600,0.225,-0.140,0.072,-0.002,-0.037,-0.002,0.001,0.264,0.072,0.002,0.017,0.010,0.368,0.000
1460,598.3,0.261,0.235,0.092,0.080,83.4,49.5,51.4,0.00241,40.4,1.12,9.67,1.98,0.207732,0.00135,0.000018,0.009186,0.012444,45.0,25.7,0.053,0.008,0.413,0.095,-0.127,-0.015,-0.068,-0.001,-0.018,0.000,-0.055,21.857,0.567,0.001,0.019,0.075,0.305,0.712,0.007,0.033,27.823,0.646,0.045,0.002,0.522,-0.002,0.105,-0.008,464.237,7.688,2.362,0.476,0.360,0.582,0.202,0.055,0.035,-0.006,0.014,-0.004,-0.010,0.256,0.067,0.002,0.016,0.009,0.324,0.000
1470,598.3,0.258,0.242,0.091,0.081,83.8,49.7,51.0,0.002441,40.3,1.12,9.68,1.98,0.20777,0.001342,0.000018,0.009172,0.012493,45.0,25.7,0.022,0.010,0.459,0.263,-0.023,0.025,0.115,0.077,-0.089,0.003,0.012,21.536,0.571,0.001,-0.087,0.152,0.004,0.714,-0.067,0.026,27.326,0.662,0.067,0.003,0.505,0.000,0.153,0.001,449.438,7.255,2.274,0.469,0.328,0.574,0.172,0.120,0.026,0.000,0.002,0.000,-0.001,0.252,0.073,0.003,0.005,0.017,-0.083,0.000
1480,598.2,0.259,0.240,0.103,0.082,83.9,49.8,49.8,0.002806,40.3,1.12,9.62,1.97,0.207789,0.001331,0.000018,0.009143,0.012515,45.0,25.7,0.028,0.013,0.479,0.425,0.064,0.048,0.086,0.065,0.014,0.002,-0.725,21.638,0.603,0.002,-0.153,0.182,-0.053,0.613,-0.009,0.032,27.816,0.730,0.088,0.004,0.527,0.002,0.129,0.009,448.938,7.477,2.299,0.471,0.362,0.577,0.131,0.177,-0.017,0.005,0.008,0.004,0.005,0.253,0.088,0.003,0.005,0.011,-0.206,0.000
1490,598.2,0.255,0.234,0.105,0.081,84.2,49.9,49.1,0.00261,40.3,1.12,9.78,2.00,0.207816,0.001316,0.000018,0.009121,0.012563,45.0,25.7,0.016,0.015,0.756,0.418,-0.005,-0.013,-0.149,0.035,-0.073,0.004,-0.423,21.786,0.574,0.002,0.020,0.194,-0.093,0.632,-0.024,0.026,27.749,0.710,0.080,0.005,0.513,-0.001,0.075,-0.004,445.175,7.519,2.339,0.474,0.377,0.581,0.176,0.189,0.066,0.001,-0.060,0.001,-0.014,0.255,0.069,0.003,0.005,0.005,-0.072,0.000
1500,598.3,0.250,0.232,0.110,0.084,83.9,49.7,50.2,0.002391,39.9,1.12,9.66,1.98,0.207784,0.001328,0.000018,0.009128,0.012528,45.0,25.7,-0.005,0.011,0.400,0.480,-0.036,0.033,0.015,0.030,-0.071,0.005,0.726,22.370,0.604,0.003,0.009,0.144,-0.413,0.741,-0.040,0.028,28.543,0.748,0.083,0.003,0.533,-0.002,-0.076,-0.008,434.513,7.555,2.389,0.487,0.385,0.596,0.131,0.188,0.052,-0.002,0.000,-0.002,-0.015,0.262,0.086,0.004,0.013,0.009,-0.404,0.000
1510,598.3,0.257,0.240,0.109,0.086,84.2,49.9,49.2,0.002783,40.0,1.12,9.59,1.97,0.207826,0.001312,0.000018,0.009098,0.012514,45.0,25.7,0.000,0.016,0.742,0.438,-0.060,0.037,-0.163,0.083,-0.036,0.006,-1.661,23.820,0.590,0.003,-0.075,0.157,0.067,0.724,-0.037,0.024,30.236,0.781,0.088,0.005,0.508,-0.003,0.026,-0.012,443.337,7.701,2.575,0.518,0.440,0.635,0.114,0.198,0.098,0.006,-0.046,0.005,-0.017,0.279,0.039,0.004,0.011,0.012,-0.008,0.000
1520,598.2,0.253,0.229,0.107,0.089,83.5,49.5,48.0,0.002641,40.1,1.12,9.66,1.98,0.207856,0.001295,0.000017,0.009083,0.012545,45.0,25.7,-0.009,0.013,0.484,0.364,-0.107,0.006,-0.128,0.027,-0.021,0.002,0.138,23.944,0.590,0.003,0.067,0.223,-0.422,0.871,-0.032,0.032,30.510,0.763,0.086,0.004,0.529,0.002,-0.013,0.008,444.913,7.865,2.636,0.521,0.435,0.638,0.138,0.207,0.044,0.001,-0.014,0.000,-0.026,0.280,0.042,0.004,0.009,0.005,-0.355,0.000
1530,598.2,0.254,0.236,0.110,0.091,83.7,49.7,50.2,0.002647,39.9,1.12,9.54,1.95,0.207774,0.001327,0.000018,0.009102,0.012567,45.0,25.7,0.007,0.017,0.349,0.499,-0.026,0.024,0.186,-0.001,-0.063,0.005,0.413,24.027,0.561,0.003,0.016,0.203,0.068,0.827,-0.031,0.032,30.584,0.790,0.095,0.005,0.491,0.002,-0.045,0.007,441.250,8.154,2.603,0.523,0.418,0.640,0.128,0.228,0.058,0.004,-0.005,0.003,-0.011,0.281,0.099,0.005,0.013,0.003,0.085,0.000
1540,598.2,0.265,0.239,0.108,0.093,83.6,49.6,49.1,0.002332,40.2,1.12,9.62,1.97,0.207814,0.001318,0.000018,0.00908,0.012562,45.0,25.7,-0.025,0.019,0.706,0.549,0.043,0.009,-0.104,0.010,-0.053,0.003,1.043,24.576,0.587,0.001,-0.149,0.078,-0.285,0.715,-0.023,0.033,31.038,0.806,0.089,0.006,0.558,0.000,0.011,0.000,452.338,8.468,2.636,0.535,0.447,0.655,0.086,0.233,0.075,0.004,0.020,0.003,-0.017,0.288,0.078,0.003,-0.002,0.003,-0.434,0.000
1550,598.2,0.273,0.241,0.104,0.096,83.8,49.7,48.9,0.002278,40.2,1.12,9.83,2.01,0.20781,0.001318,0.000018,0.00908,0.012559,45.0,25.7,0.026,0.011,0.410,0.436,-0.082,-0.004,0.071,0.010,-0.091,0.004,0.839,23.681,0.615,0.002,-0.087,0.193,0.087,0.724,-0.026,0.037,29.999,0.784,0.104,0.003,0.559,0.001,0.109,0.003,448.000,8.818,2.535,0.515,0.433,0.631,0.181,0.207,0.061,0.002,-0.083,0.001,-0.029,0.277,0.071,0.004,0.011,0.005,0.000,0.000
1560,598.2,0.275,0.249,0.111,0.095,83.5,49.5,51.6,0.002543,40.1,1.12,9.70,1.99,0.207735,0.001348,0.000018,0.009098,0.012543,45.0,25.7,-0.011,0.015,0.437,0.399,-0.032,0.008,0.103,-0.063,-0.043,0.005,0.278,22.549,0.588,-0.001,-0.080,0.196,-0.342,0.674,-0.031,0.027,28.539,0.752,0.082,0.005,0.512,-0.005,0.060,-0.018,444.125,8.710,2.409,0.491,0.365,0.601,0.140,0.209,0.045,-0.004,-0.047,-0.003,-0.004,0.264,0.067,0.003,0.009,0.013,-0.422,0.000
1570,598.2,0.269,0.242,0.115,0.095,83.5,49.5,49.6,0.002494,40.2,1.12,9.56,1.96,0.207823,0.001317,0.000018,0.009074,0.012496,45.0,25.7,0.033,0.024,0.361,0.408,0.026,-0.013,-0.151,0.034,-0.043,0.002,-2.499,22.514,0.591,0.004,-0.115,0.116,-0.536,0.898,-0.074,0.032,28.525,0.734,0.095,0.007,0.546,-0.003,0.038,-0.011,445.913,8.740,2.417,0.490,0.336,0.600,0.136,0.225,-0.028,0.002,0.017,0.002,-0.001,0.264,0.065,0.003,-0.017,0.017,-0.651,0.000
1580,598.2,0.270,0.246,0.122,0.097,83.5,49.5,49.5,0.002343,40.2,1.12,9.58,1.96,0.20781,0.001316,0.000018,0.009067,0.012456,45.0,25.7,0.018,0.012,0.465,0.361,-0.087,0.013,-0.043,0.023,-0.053,0.004,-0.728,22.288,0.632,0.001,-0.030,0.227,-0.094,0.793,-0.065,0.032,28.489,0.778,0.090,0.004,0.551,-0.001,0.011,-0.004,443.175,8.873,2.418,0.485,0.388,0.594,0.148,0.203,0.027,-0.006,-0.015,-0.005,-0.008,0.261,0.085,0.005,0.006,0.008,-0.124,0.000
1590,598.2,0.270,0.238,0.117,0.098,83.4,49.5,49.7,0.002355,40.2,1.12,9.71,1.99,0.207783,0.001325,0.000018,0.009065,0.012476,45.0,25.7,0.008,0.030,0.175,0.396,-0.014,0.044,-0.012,0.030,-0.059,0.003,0.255,22.393,0.612,0.002,0.046,0.252,0.429,0.867,-0.048,0.032,28.663,0.746,0.091,0.009,0.550,0.000,-0.120,0.001,443.450,9.416,2.379,0.487,0.387,0.597,0.119,0.240,0.063,0.007,0.008,0.005,-0.004,0.262,0.074,0.004,0.005,0.015,0.475,0.000
1600,598.2,0.269,0.239,0.125,0.100,83.8,49.7,48.4,0.00243,40.3,1.12,9.57,1.96,0.207831,0.001309,0.000018,0.009051,0.012506,45.0,25.7,-0.026,0.019,0.201,0.554,-0.085,0.051,-0.006,-0.005,-0.012,0.007,-1.287,22.614,0.621,0.001,0.007,0.161,0.273,0.767,-0.051,0.029,28.886,0.744,0.099,0.006,0.503,0.001,-0.057,0.004,447.562,9.438,2.430,0.492,0.399,0.603,0.142,0.246,0.058,0.011,-0.009,0.009,-0.005,0.265,0.068,0.002,0.007,0.017,0.281,0.000
1610,598.2,0.273,0.243,0.126,0.103,84.0,49.8,50.4,0.002534,40.3,1.12,9.55,1.95,0.207781,0.001325,0.000018,0.009068,0.012556,45.0,25.7,0.007,0.029,0.251,0.404,-0.006,0.031,0.246,0.045,-0.055,0.004,0.701,23.053,0.628,0.004,-0.109,0.199,-0.094,0.739,-0.082,0.036,29.345,0.777,0.071,0.009,0.534,0.003,0.049,0.011,450.688,10.163,2.450,0.502,0.380,0.614,0.108,0.283,-0.004,0.002,0.062,0.002,0.005,0.270,0.062,0.003,0.011,0.015,-0.203,0.000
1620,598.2,0.273,0.259,0.127,0.102,83.5,49.6,49.0,0.00216,40.4,1.12,9.69,1.98,0.2078,0.001325,0.000018,0.009077,0.012593,45.0,25.7,0.031,0.014,0.470,0.414,0.003,0.054,-0.078,0.013,-0.062,0.004,0.295,22.940,0.622,0.004,-0.239,0.185,-0.447,0.795,-0.037,0.030,29.170,0.778,0.088,0.004,0.532,0.000,0.013,-0.001,455.463,9.461,2.457,0.499,0.385,0.611,0.195,0.225,0.043,-0.002,-0.044,-0.001,-0.004,0.269,0.074,0.004,0.007,0.013,-0.686,0.000
1630,598.3,0.275,0.252,0.129,0.102,83.6,49.6,50.0,0.002382,40.4,1.12,9.70,1.98,0.207776,0.001334,0.000018,0.009093,0.012618,45.0,25.7,0.002,0.007,0.309,0.498,-0.029,0.015,-0.018,0.006,-0.002,0.001,0.156,22.356,0.630,0.000,-0.058,0.175,-0.311,0.770,-0.027,0.035,28.426,0.729,0.090,0.002,0.539,0.002,0.083,0.007,451.422,10.226,2.422,0.487,0.384,0.596,0.134,0.255,0.011,0.009,-0.056,0.007,-0.001,0.262,0.068,0.004,0.011,0.016,-0.370,0.000
1640,598.2,0.271,0.247,0.123,0.103,83.2,49.4,51.3,0.002362,40.4,1.12,9.71,1.99,0.207752,0.001346,0.000018,0.009098,0.012625,45.0,25.7,-0.059,0.022,0.365,0.395,-0.124,0.010,0.050,0.008,-0.034,-0.001,0.283,22.354,0.638,0.001,-0.181,0.163,-0.306,0.770,-0.062,0.030,28.324,0.725,0.096,0.007,0.514,-0.001,-0.012,-0.002,451.075,9.888,2.405,0.487,0.375,0.596,0.149,0.256,-0.004,-0.001,-0.062,-0.001,-0.016,0.262,0.096,0.003,-0.006,0.011,-0.487,0.000
1650,598.2,0.274,0.245,0.127,0.101,83.7,49.7,49.0,0.00215,40.4,1.12,9.62,1.97,0.207823,0.001319,0.000017,0.009077,0.01262,45.0,25.7,-0.027,0.006,0.285,0.317,-0.162,-0.010,-0.234,0.053,-0.044,0.000,-0.291,22.252,0.666,0.004,-0.114,0.223,0.191,0.672,-0.019,0.033,28.190,0.744,0.107,0.002,0.546,-0.003,-0.122,-0.011,452.975,10.002,2.364,0.484,0.335,0.593,0.116,0.268,0.146,-0.002,-0.033,-0.002,0.020,0.261,0.073,0.004,0.008,0.011,0.077,0.000
1660,598.2,0.271,0.248,0.129,0.101,83.5,49.6,50.2,0.002143,40.4,1.12,9.61,1.97,0.207792,0.001326,0.000018,0.009086,0.012667,45.0,25.7,-0.080,0.013,0.528,0.400,-0.039,-0.005,0.094,-0.034,-0.009,0.006,-0.348,22.249,0.614,0.001,-0.021,0.187,-0.684,0.662,-0.026,0.034,28.271,0.752,0.097,0.004,0.520,0.003,-0.028,0.011,451.700,10.199,2.424,0.484,0.372,0.593,0.109,0.266,0.014,0.002,-0.054,0.002,-0.001,0.260,0.067,0.002,0.008,0.009,-0.705,0.000
1670,598.2,0.278,0.249,0.130,0.101,83.5,49.6,50.2,0.002045,40.4,1.12,9.78,2.00,0.207774,0.001334,0.000018,0.009095,0.012724,45.0,25.7,0.012,0.020,0.465,0.324,-0.168,0.017,0.044,-0.006,0.006,0.004,-1.581,22.869,0.609,0.001,-0.109,0.189,0.522,0.778,-0.061,0.032,29.191,0.770,0.102,0.006,0.554,-0.001,-0.084,-0.003,455.188,10.863,2.478,0.498,0.392,0.609,0.142,0.291,0.088,0.007,-0.005,0.006,-0.010,0.268,0.073,0.004,0.002,0.009,0.413,0.000
1680,625.5,0.264,0.240,0.121,0.097,84.3,50.0,49.8,0.002031,40.5,1.12,9.77,2.00,0.207791,0.001329,0.000018,0.009108,0.012738,45.0,25.7,-0.037,0.020,0.428,0.362,-0.073,0.023,0.101,0.045,-0.055,0.002,0.797,22.656,0.638,0.001,0.018,0.179,-0.783,0.855,-0.013,0.032,28.746,0.754,0.102,0.006,0.561,-0.001,0.062,-0.004,452.388,10.204,2.426,0.493,0.414,0.604,0.155,0.254,0.064,0.003,-0.043,0.003,-0.030,0.265,0.072,0.004,-0.004,0.013,-0.765,0.000
1690,798.1,0.228,0.199,0.108,0.086,82.9,49.2,51.5,0.002076,39.9,1.12,9.65,1.98,0.207757,0.001342,0.000018,0.009118,0.012708,45.0,25.7,0.003,0.033,0.597,0.380,-0.074,0.006,-0.024,0.020,-0.049,0.005,0.110,35.119,0.647,0.000,-0.096,0.160,0.164,1.243,-0.064,0.043,43.376,1.207,0.101,0.010,0.645,0.000,0.068,0.000,425.737,10.487,3.648,0.764,0.627,0.936,0.122,0.316,-0.057,-0.001,-0.029,-0.001,-0.030,0.411,0.108,0.004,0.001,0.019,0.068,0.000
